Purpose,Period,AccessMode,SegID,LinkID,Direction,N,Mode,Name,LongName,RouteDir,Headway,Board,Board_FromSkim_LCL,Board_FromSkim_COR,Board_FromSkim_BRT,Board_FromSkim_EXP,Board_FromSkim_LRT,Board_FromSkim_CRT,Alight,Alight_FromSkim_LCL,Alight_FromSkim_COR,Alight_FromSkim_BRT,Alight_FromSkim_EXP,Alight_FromSkim_LRT,Alight_FromSkim_CRT
All,ok,drive,UTA_1003,10025_26470,SB,  10025.00,      4.00,FD605,FD605,      1.00,     30.00,      7.50,      0.21,         0,         0,         0,         0,      7.29,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0068_069.2,26522_26531,EB,  26522.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      2.89,         0,         0,         0,         0,         0,      2.89
All,ok,drive,0068_069.2,26531_26542,EB,  26531.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,1420_000.0,26542_26553,EB,  26542.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      1.09,      0.01,         0,         0,         0,         0,      1.08
All,ok,drive,1420_000.3,26558_26568,EB,  26558.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.46,      0.04,         0,         0,         0,         0,      0.42
All,ok,drive,1420_000.7,26574_26593,EB,  26574.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.75,         0,         0,         0,         0,         0,      0.75
All,ok,drive,1420_000.7,26593_26574,WB,  26593.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.18,      0.04,         0,         0,         0,         0,      0.14
All,ok,drive,1420_000.3,26574_26568,WB,  26574.00,      4.00,FD605,FD605,      1.00,     30.00,      0.06,      0.06,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,1420_000.0,26558_26553,WB,  26558.00,      4.00,FD605,FD605,      1.00,     30.00,      1.01,      1.01,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0068_069.2,26542_26531,WB,  26542.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,0089_388.4,26522_26532,NB,  26522.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.03,      0.03,         0,         0,         0,         0,         0
All,ok,drive,0089_388.4,26543_26564,NB,  26543.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,1422_000.7,26604_26619,NB,  26604.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      1.21,      0.10,         0,         0,         0,         0,      1.11
All,ok,drive,1424_000.0,26629_26636,EB,  26629.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.09,      0.05,         0,         0,         0,         0,      0.04
All,ok,drive,1424_000.0,26636_26646,EB,  26636.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.03,         0,         0,         0,         0,         0,      0.03
All,ok,drive,0106_002.0,26646_26662,NB,  26646.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.03,      0.03,         0,         0,         0,         0,         0
All,ok,drive,0106_002.0,26662_26679,NB,  26662.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.04,      0.01,         0,         0,         0,         0,      0.03
All,ok,drive,1436_000.0,26679_26666,WB,  26679.00,      4.00,FD605,FD605,      1.00,     30.00,      0.02,      0.02,         0,         0,         0,         0,         0,      0.25,      0.21,         0,         0,         0,         0,      0.04
All,ok,drive,1436_000.0,26666_26653,WB,  26666.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.16,         0,         0,         0,         0,         0,      0.16
All,ok,drive,1422_002.0,26676_26706,NB,  26676.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.94,      0.46,         0,         0,         0,         0,      0.48
All,ok,drive,0105_000.7,26706_26688,WB,  26706.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.11,      0.09,         0,         0,         0,         0,      0.02
All,ok,drive,0105_000.2,26670_26652,WB,  26652.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.28,      0.18,         0,         0,         0,         0,      0.10
All,ok,drive,1420_000.3,26574_26568,WB,  26574.00,      4.00,FD605,FD605,      2.00,     30.00,      0.05,      0.05,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,1420_000.0,26558_26553,WB,  26558.00,      4.00,FD605,FD605,      2.00,     30.00,      0.02,      0.02,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0068_069.2,26542_26531,WB,  26542.00,      4.00,FD605,FD605,      2.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,0068_069.0,26522_26517,WB,  26522.00,      4.00,FD605,FD605,      2.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.03,      0.03,         0,         0,         0,         0,         0
All,ok,drive,1418_001.4,26496_26494,SB,  26496.00,      4.00,FD605,FD605,      2.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,UTA_1003,26470_10025,NB,  10025.00,      4.00,FD605,FD605,      2.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,UTA_0990,50024_66841,SB,  50024.00,      4.00,M805_Santaquin,M805_Santaquin,      1.00,     60.00,      1.37,      0.06,         0,      0.09,         0,         0,      1.22,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2837_000.7,66192_66206,NB,  66192.00,      4.00,M805_Santaquin,M805_Santaquin,      1.00,     60.00,      0.09,      0.09,         0,         0,         0,         0,         0,      1.11,      0.04,         0,      0.07,         0,         0,      1.00
All,ok,drive,0178_000.0,65403_60051,WB,  65403.00,      4.00,M805_Santaquin,M805_Santaquin,      1.00,     60.00,      0.07,      0.07,         0,         0,         0,         0,         0,      0.33,      0.09,         0,      0.02,         0,         0,      0.22
All,ok,drive,0006_159.8,65112_65113,WB,  65112.00,      4.00,M805_Santaquin,M805_Santaquin,      1.00,     60.00,         0,         0,         0,         0,         0,         0,         0,      0.03,      0.03,         0,         0,         0,         0,         0
All,ok,drive,0006_159.3,65115_65117,WB,  65115.00,      4.00,M805_Santaquin,M805_Santaquin,      1.00,     60.00,         0,         0,         0,         0,         0,         0,         0,      0.05,      0.05,         0,         0,         0,         0,         0
All,ok,drive,0006_160.3,65111_65110,EB,  65111.00,      4.00,M805_Santaquin,M805_Santaquin,      1.00,     60.00,      1.75,      1.75,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
